rider_id,team_id,firstname,lastname,age,birthday,country,region,portrait,weight,height,stat_flat,stat_mountain,stat_medium_mountain,stat_downhill,stat_cobbles,stat_timetrial,stat_prologue,stat_sprint,stat_acceleration,stat_endurance,stat_resistance,stat_recovery,stat_hill,stat_fighter,real_rider
48,2,Romes,Gainetdinov,26,19670506,8,,,0,0,70,74,71,65,60,68,68,73,70,66,66,73,68,74,1
49,2,Pascal,Hervé,29,19640713,1,Indre et Loire,,62,169,67,74,73.5,72,58,66,65,60,70,71,70,73,73,74,1
50,2,Pascal,Lino,27,19660813,1,lle de France,,69,178,76,70,71.5,63,62,77,78,61,61,65,68,70,73,67,1
51,2,Gert,Jakobs,29,19640429,6,Drenthe,,0,0,76,57,61.5,67,67,70,70,70,71,72,69,62,66,73,1
52,2,Jean-Philippe,Dojwa,26,19670807,1,Haute Normandie,,0,0,66,73,72.5,71,56,68,66,62,67,71,66,68,72,73,1
53,2,José Ramón,Gonzalez Arrieta,26,19670512,4,Pais Vasco,,69,180,67,73,73.5,68,55,64,65,60,69,70,70,71,74,72,1
54,2,Manuel,Martinez Costa,26,19670616,4,Murcia,,66,178,73,62,63,78,61,60,61,71,71,72,72,62,64,70,1
55,2,Arūnas,Čepelė,25,19680313,13,,,0,0,69,58,62.5,70,65,65,66,70,71,66,69,66,67,70,1
56,2,Fernando,Piñero Gallego,26,19670222,4,Murcia,,0,0,68,68,69.5,77,58,63,60,65,70,66,68,68,71,70,1
57,2,Yuri,Manuylov,29,19640610,8,,,0,0,72,63,64.5,65,56,71,66,72,71,66,66,65,66,68,1
58,2,Juan,Valbuena Roset,28,19650625,4,Pais Vasco,,64,178,66,70,70.5,68,56,62,63,63,66,70,72,67,71,70,1
59,2,Jean-Luc,Masdupuy,24,19690414,1,Limousin,,0,0,66,66,70,69,59,62,60,64,70,68,68,65,74,70,1
60,2,Stéphane,Goubert,23,19700313,1,Languedoc Roussillon,,0,0,66,74,71.5,68,57,60,58,58,66,69,68,68,69,66,1
61,3,Luc,Roosen,29,19640917,2,Limburg,,70,178,76,76,78.5,74,65,71,72,71,81,80,76,76,81,74,1
62,3,Herman,Frison,32,19610416,2,Antwerpen,,63,175,74,63,66.5,70,74,72,73,77,75,75,75,64,70,74,1
63,3,Sammie,Moreels,28,19651127,2,Oost Vlaanderen,,70,178,77,65,71,73,67,68,69,74,74,75,74,68,77,73,1
64,3,Peter,Farazijn,24,19690127,2,West Vlaanderen,,67,179,74,68,72,70,70,68,68,64,74,74,73,68,76,78,1
65,3,Frank,van den Abeele,27,19660103,2,Oost Vlaanderen,,68,178,75,66,70.5,73,73,66,64,72,74,73,70,67,75,77,1
66,3,Peter,de Clercq,27,19660702,2,Oost Vlaanderen,,0,0,75,71,72,68,75,64,64,75,75,73,72,66,73,73,1
67,3,Peter,van Petegem,23,19700118,2,Oost Vlaanderen,,68,181,75,63,67.5,67,75,66,68,68,74,73,74,71,72,75,1
68,3,Bart,Leysen,24,19690210,2,Antwerpen,,68,177,74,64,68.5,68,72,72,73,67,73,70,74,65,73,75,1
69,3,Jan,Nevens,33,19600826,2,Oost Vlaanderen,,69,180,71,73,73.5,68,69,64,65,67,73,73,74,72,74,77,1
70,3,Rik,van Slycke,30,19630203,2,Oost Vlaanderen,,67,178,75,64,68.5,68,70,68,69,71,73,74,74,65,73,76,1
71,3,Frank,Vandenbroucke,19,19741106,2,Hainaut,,64,178,74,66,69.5,74,67,68,70,66,75,69,71,68,73,74,1
72,3,Mario,de Clercq,27,19660305,2,Oost Vlaanderen,,0,0,72,64,68.5,76,73,60,60,68,75,71,75,64,73,75,1
73,3,Marc,Wauters,24,19690223,2,Limburg,,0,0,73,60,64,68,70,73,73,61,66,72,72,65,68,77,1
74,3,Eric,McKenzie,33,19600828,2,,,0,0,74,56,60.5,67,66,73,73,77,72,70,67,62,65,75,1
75,3,Patrick,Verschueren,31,19620912,2,Antwerpen,,66,180,73,61,65.5,66,70,63,64,73,71,70,70,65,70,77,1
76,3,Peter,Roes,29,19640504,2,Antwerpen,,70,178,75,64,66.5,64,70,62,64,72,70,69,72,66,69,75,1
77,3,Tom,Desmet,24,19691129,2,West Vlaanderen,,0,0,72,58,63,70,70,68,66,68,72,71,70,64,68,70,1
78,3,Jim,van de Laer,25,19680411,2,Vlaams Brabant,,0,0,72,70,69,66,70,63,65,66,68,71,69,66,68,73,1
79,3,Stéphane,Hennebert,24,19690602,2,Hainaut,,0,0,67,69,71.5,68,64,62,63,68,73,70,67,61,74,72,1
80,3,Serge,Baguet,24,19690818,2,Oost Vlaanderen,,0,0,70,64,68.5,68,62,61,64,67,73,69,70,64,73,70,1
81,3,Michel,van Haecke,22,19710924,2,West Vlaanderen,,0,0,73,57,61.5,68,68,65,64,73,72,69,70,63,66,65,1
82,3,Nico,Mattan,22,19710717,2,West Vlaanderen,,0,0,72,63,65.5,69,68,66,65,68,68,69,69,62,68,64,1
83,3,Pierre,Herinne,25,19680909,2,Hainaut,,0,0,70,65,68,67,60,70,70,66,65,70,66,62,71,67,1
84,3,Thierry,Bock,27,19661227,2,Liège,,70,178,71,62,66,66,72,63,64,65,65,68,68,63,70,66,1
85,3,Bruno,Bruyere,28,19651231,2,Brussels Hoofdstedelijk Gewest,,0,0,69,65,69.5,65,66,58,58,65,69,70,68,62,74,72,1
86,3,Robbie,Van Daele,21,19720424,2,West Vlaanderen,,0,0,68,57,60,64,66,59,65,73,73,67,66,63,63,68,1
87,3,Sébastien,Demarbaix,20,19731219,2,Hainaut,,0,0,67,64,67,70,59,58,58,64,68,68,67,69,70,66,1
88,3,Kurt,van de Wouwer,22,19710824,2,Antwerpen,,0,0,66,66,68,66,60,60,60,58,68,65,64,70,70,68,1
89,3,Frank,Van de Vijver,31,19621112,2,Antwerpen,,0,0,70,55,56.5,63,63,56,56,75,77,64,65,64,58,58,1
90,3,Giovanni,Cornette,22,19710827,2,West Vlaanderen,,0,0,66,59,61.5,65,64,58,58,61,66,65,65,60,64,64,1
91,4,Miguel,Induráin Larraya,29,19640716,4,Navarra,,76,188,81,84,82,84,70,84,84,70,77,82,83,83,80,80,1
92,4,Pedro,Delgado Robledo,33,19600415,4,Castilla y Leon,,64,174,74,82,80.5,82,67,76,76,64,80,77,81,81,79,76,1
93,4,Jean-François,Bernard,31,19620502,1,Bourgogne,,69,181,76,81,79,74,67,78,78,65,75,75,77,79,77,80,1
94,4,Gérard,Rué,28,19650707,1,Bretagne,,67,178,75,73,75.5,78,66,73,74,70,76,74,76,71,78,78,1
95,4,Marino,Alonso Monje,28,19651116,4,Castilla y Leon,,72,184,75,72,73.5,71,70,75,76,64,72,75,76,74,75,80,1
96,4,Julián,Gorospe Artabe,33,19600322,4,Pais Vasco,,65,174,73,77,76.5,71,62,75,77,66,72,76,74,74,76,73,1
97,4,Aitor,Garmendia Arbilla,25,19680303,4,Pais Vasco,,69,179,76,70,72.5,73,62,76,76,68,72,74,75,72,75,75,1
98,4,José Ramón,Uriarte Zubero,26,19670121,4,Pais Vasco,,69,179,74,71,72,76,68,71,70,65,68,73,75,74,73,73,1
99,4,Stéphane,Heulot,22,19710920,1,Bretagne,,68,177,73,73,72,69,62,73,72,64,74,74,72,71,71,78,1
100,4,José Enrique,Carrera Álvarez,28,19651127,4,Castilla y Leon,,70,178,75,65,67,70,68,66,67,74,76,75,74,70,69,71,1
101,4,Prudencio,Induráin Larraya,25,19680609,4,Navarra,,71,187,74,71,72,65,63,68,68,64,72,72,72,72,73,75,1
102,4,Rubén,Gorospe Artabe,29,19640601,4,Pais Vasco,,65,175,71,70,71,67,65,68,68,67,71,73,73,72,72,67,1
103,4,Roberto,Lezáun Zubiria,26,19670723,4,Navarra,,68,179,68,70,70,84,65,64,64,65,69,66,71,70,70,76,1
104,4,Jose Luis,De Santos Arribas,25,19680212,4,Castilla y Leon,,65,175,67,74,73.5,66,62,68,68,63,71,72,71,70,73,75,1
105,4,Fabrice,Philipot,28,19650924,1,Bourgogne,,66,178,68,73,73.5,66,60,73,73,62,64,71,74,71,74,70,1
106,4,Francisco,San Román,27,19660904,4,Castilla y Leon,,67,177,74,67,69,66,65,68,69,64,67,73,72,71,71,71,1
107,4,Jesús,Rodríguez Magro,33,19600528,4,Madrid,,71,177,73,71,71.5,67,62,67,67,64,65,74,71,70,72,72,1
108,4,José Luis,Santamaría González,25,19681228,4,Castilla y Leon,,64,177,73,66,68,69,63,66,66,65,72,71,68,67,70,74,1
109,4,Ángel,Arroyo Lanchas,33,19600602,4,Castilla y Leon,,0,0,65,76,75,79,55,64,64,61,70,68,70,72,74,69,1
110,4,César,Solaun Solana,23,19701229,4,País Vasco,,0,0,70,64,69,68,61,62,64,67,72,70,68,65,74,73,1
111,4,José Vicente,Garcia Acosta,21,19720804,4,País Vasco,,0,186,69,63,66.5,61,60,67,67,66,70,68,68,69,70,75,1
112,4,José María,Jiménez Sastre,22,19710206,4,Castilla y Leon,,0,0,62,76,73,75,58,58,58,63,72,68,66,67,70,80,1
113,4,Javier,Lazpiur,23,19700202,4,Pais Vasco,,0,0,64,66,67.5,64,68,60,61,74,68,67,71,70,69,71,1
114,4,Ángel Luis,Casero Moreno,21,19720927,4,Comunidad Valenciana,,0,0,66,73,72,66,58,66,65,58,65,68,69,72,71,70,1
115,4,Javier,Pascual Llorente,22,19710330,4,La Rioja,,0,0,68,68,69,67,60,66,65,65,68,68,67,64,70,70,1
116,4,José Luis,Arrieta Lujambio,22,19710615,4,Pais Vasco,,0,0,69,61,65,68,62,63,63,65,67,66,68,70,69,70,1
117,4,David,García Marquina,23,19700411,4,Navarra,,0,0,64,74,71.5,71,58,65,65,58,68,67,66,70,69,66,1
118,4,Jesús,Hernández Úbeda,33,19601011,4,Madrid,,0,0,71,63,62,64,67,64,64,69,68,65,63,65,61,72,1
119,4,Gabriel Roberto,Sabbião Rodrigues,32,19611223,14,,,0,0,63,64,66,62,59,61,61,64,66,64,62,60,68,73,1
120,4,Óscar,López Uriarte,23,19700224,4,Pais Vasco,,0,0,63,69,67.5,66,55,58,56,63,66,66,65,64,66,66,1
121,5,Jesper,Skibby,29,19640321,9,Midtjylland,,67,178,81,69,72,71,76,72,74,80,78,80,79,72,75,73,1
122,5,Robert,Millar,33,19600913,16,,,67,175,73,80,79,74,71,74,74,67,79,76,76,76,78,76,1
123,5,Gert-Jan,Theunisse,30,19630114,6,Noord Brabant,,65,176,76,78,79,71,71,70,72,70,81,78,76,77,80,74,1
124,5,John,Talen,28,19650118,6,Drenthe,,65,178,77,67,70.5,68,80,70,72,73,74,75,74,71,74,78,1
125,5,Dag Otto,Lauritzen,33,19600912,15,,,67,177,75,72,73.5,72,75,70,71,72,76,75,71,75,75,71,1
126,5,Bo,Hamburger,23,19700524,9,Hovedstaden,,64,176,75,73,74,74,67,70,68,68,76,74,76,72,75,79,1
127,5,Maarten,den Bakker,24,19690126,6,Zuid Holland,,66,178,77,62,64,65,75,68,72,77,80,76,73,72,66,76,1
128,5,Ad,Wijnands,33,19600516,6,Limburg,,64,170,73,69,72,79,70,64,73,75,76,72,70,70,75,72,1
129,5,Johan,Capiot,29,19640412,2,Limburg,,68,179,76,68,69,71,77,67,68,78,76,76,73,64,70,72,1
130,5,Scott,Sunderland,27,19661128,10,,,67,178,75,69,73,75,67,66,68,67,78,76,74,63,77,80,1
131,5,Mathieu,Hermans,30,19630109,6,Noord Brabant,,0,0,75,62,65,69,68,70,70,79,80,73,68,67,68,70,1
132,5,Eddy,Schurer,29,19640912,6,Friesland,,70,179,74,65,66.5,62,68,72,72,75,75,73,73,68,68,73,1
133,5,Gerrit,de Vries,26,19670513,6,Friesland,,67,178,74,66,68,64,71,70,71,71,71,73,73,67,70,70,1
134,5,Roland,Meier,26,19671122,12,Zürich,,0,0,67,74,74,68,58,74,70,58,68,70,74,74,74,74,1
135,5,Danny,Nelissen,23,19700418,6,Limburg,,68,178,74,72,73,70,61,66,67,61,71,69,71,70,74,70,1
136,5,Rob,Harmeling,29,19641204,6,Overijssel,,66,178,74,62,62.5,70,64,64,65,71,71,72,72,68,63,72,1
137,5,Peter,Meinert Nielsen,29,19660524,9,Midtjylland,,64,178,73,61,61.5,64,71,72,72,65,68,68,68,64,62,77,1
138,5,Alain,Van den Bossche,28,19651117,2,Oost Vlaanderen,,68,178,72,64,66,65,64,62,63,69,72,72,72,66,68,67,1
139,5,Martin,van Steen,24,19691108,6,Noord Brabant,,0,0,74,56,61.5,64,74,58,60,76,75,72,71,59,67,66,1
140,5,Thomas,Barth,33,19600120,5,Thuringen,,68,179,73,60,61.5,66,62,70,70,65,70,73,70,64,63,65,1
141,5,Tristan,Hoffman,23,19700101,6,Gelderland,,0,0,71,59,62.5,65,72,62,62,71,70,70,68,58,66,77,1
142,5,Jeroen,Blijlevens,22,19711229,6,Noord Brabant,,0,0,71,59,61,62,66,58,63,74,74,68,68,62,63,65,1
143,5,Mario,Gutte,29,19640317,6,Noord Brabant,,0,0,72,56,59.5,73,60,72,72,63,62,66,62,60,63,67,1
144,5,Servais,Knaven,22,19710306,6,Gelderland,,0,0,68,59,61.5,63,68,65,66,63,66,69,68,57,64,72,1
145,5,Rob,Kleinsman,31,19621115,6,Overijssel,,0,0,68,58,63.5,68,64,66,66,63,64,65,66,67,69,63,1
146,5,Claus Michael,Møller,25,19681003,9,Nordjylland,,0,0,66,67,68.5,65,57,65,64,61,66,65,67,67,70,65,1
147,5,Martin,Aun,29,19641002,17,,,67,178,69,63,63.5,70,60,62,63,60,61,61,66,67,64,70,1
148,5,Bart,Voskamp,25,19680606,6,Gelderland,,0,0,72,55,63.5,63,56,64,64,58,72,61,59,61,72,72,1
149,5,Lars Kristian,Johnsen,23,19700828,15,,,0,0,66,63,64,62,58,61,63,66,65,65,66,63,65,65,1
150,5,Hendrik,Van Dyck,19,19740205,2,Antwerpen,,0,0,66,59,61.5,60,63,59,62,69,68,65,64,60,64,66,1
151,6,Jacky,Durand,26,19670210,1,Pays de la Loire,,66,178,78,68,72.5,74,75,72,75,68,77,77,72,70,77,84,1
152,6,Luc,Leblanc,27,19660804,1,Limousin,,65,176,68,80,79,71,61,69,69,63,81,76,76,75,78,78,1
153,6,Dominique,Arnould,27,19661119,1,Franche Comte,,70,178,76,65,69,82,72,68,68,67,72,73,72,71,73,79,1
154,6,François,Simon,25,19681028,1,Champagne Ardenne,,68,178,75,70,73,68,66,64,65,73,74,74,75,72,76,78,1
155,6,Armand,de las Cuevas,25,19680626,1,Champagne Ardenne,,70,178,73,75,74.5,72,60,76,77,62,69,73,75,74,74,69,1
156,6,Laurent,Brochard,25,19680326,1,Pays de la Loire,,0,0,75,68,72.5,71,74,63,60,68,78,75,77,66,77,75,1
157,6,Gilles,Delion,27,19660805,1,Pays de la Loire,,67,177,74,71,74.5,64,62,66,66,68,68,78,75,73,78,73,1
158,6,Jean-Cyril,Robin,24,19690827,1,Bretagne,,0,0,70,75,75,75,60,66,65,66,73,71,70,73,75,73,1
159,6,Laurent,Desbiens,24,19690916,1,Nord Pas de Calais,,0,0,74,67,70,68,69,68,68,69,72,71,73,67,73,72,1
160,6,Thierry,Bourguignon,31,19621219,1,Rhone Alpes,,68,178,73,74,74.5,70,60,63,63,65,68,73,73,71,75,78,1
161,6,Philippe,Bouvatier,29,19640612,1,Haute Normandie,,67,178,74,67,68.5,67,65,74,74,66,64,70,71,71,70,72,1
162,6,Marc,Gomez,33,19600910,1,Bretagne,,0,0,72,67,71,62,72,63,63,71,75,72,68,71,75,73,1
163,6,Dante,Rezze,30,19630427,1,Rhone Alpes,,67,178,73,72,73,68,63,66,70,64,68,70,69,71,74,76,1
164,6,Fabian,Jeker,25,19681128,12,Basel Landschaft,,67,178,67,75,74.5,68,60,67,67,64,71,75,74,73,74,66,1
165,6,Emmanuel,Magnien,22,19710507,1,Champagne Ardenne,,0,0,69,65,68.5,75,66,68,70,69,72,67,66,66,72,74,1
166,6,Jean-Claude,Bagot,33,19600309,1,Basse-Normandie,,70,175,70,76,75.5,66,60,64,64,62,68,70,73,76,75,71,1
167,6,Philippe,Gaumont,20,19730222,1,Picardie,,0,0,70,64,66.5,69,72,68,70,70,72,68,68,67,69,68,1
168,6,Laurent,Madouas,26,19670208,1,Bretagne,,67,176,72,72,73.5,70,60,64,65,63,73,70,72,68,75,71,1
169,6,Éric,Pichon,27,19660330,1,Rhône Alpes,,66,177,74,71,71.5,67,58,68,70,62,67,68,68,73,72,74,1
170,6,Laurent,Roux,21,19721203,1,Midi Pyrenees,,0,0,71,65,69.5,70,64,63,66,62,75,71,73,65,74,73,1
171,6,Heinrich,Trumheller,21,19720701,5,Kabardin Balkar,,0,0,74,68,68,65,58,62,68,75,75,68,69,66,68,71,1
172,6,Thomas,Davy,25,19680301,1,Ile de France,,0,0,68,74,73,70,58,66,64,58,70,68,72,70,72,74,1
173,6,Bruno,Thibout,24,19690508,1,Haute Normandie,,0,0,73,59,65.5,63,61,74,70,74,75,65,73,60,72,65,1
174,6,Roland,Leclerc,30,19630530,1,,,68,178,73,70,70.5,62,60,66,67,66,66,67,66,63,71,71,1
175,6,Jean-Luc,Jonrond,27,19660815,1,Rhone Alpes,,64,178,75,66,66.5,64,63,64,65,62,62,67,69,71,67,71,1
176,6,Jean-Philippe,Rouxel,27,19661015,1,Bourgogne,,71,177,73,63,64.5,64,65,62,63,66,66,70,70,67,66,71,1
177,6,Sébastien,Médan,21,19720605,1,Rhone-Alpes,,0,0,69,64,65,68,65,59,59,70,70,64,65,63,66,65,1
178,6,Franck,Bouyer,19,19740317,1,Pays de la Loire,,0,0,66,65,66.5,65,62,58,57,64,66,66,65,62,68,65,1
179,6,Benoît,Salmon,19,19740509,1,Bretagne,,0,0,67,64,65.5,68,55,58,59,66,66,64,65,61,67,66,1
180,6,Didier,Thueux,27,19661227,1,Picardie,,0,0,65,55,57.5,62,55,63,63,56,63,63,58,61,60,63,1
181,7,Pascal,Richard,29,19640316,12,Vaud,,68,178,77,76,78,83,70,66,67,72,79,75,78,73,80,80,1
182,7,Giorgio,Furlan,27,19660309,3,Veneto,,0,0,78,74,77,77,67,71,70,73,80,76,76,71,80,76,1
183,7,Bjarne,Riis,29,19640403,9,Midtjylland,,68,177,78,80,79,72,64,79,76,66,73,75,75,78,78,74,1
184,7,Alberto,Elli,29,19640309,3,Lombardia,,63,174,77,76,76.5,75,63,71,72,71,76,77,74,76,77,82,1
185,7,Dag Erik,Pedersen,33,19600606,15,,,66,178,76,71,74.5,71,75,71,71,67,76,77,76,66,78,74,1
186,7,Davide,Cassani,32,19610101,3,Emilia Romagna,,67,178,76,71,74,72,60,67,71,71,76,76,76,70,77,80,1
187,7,Massimiliano,Lelli,26,19671202,3,Toscana,,68,174,73,77,75.5,70,70,72,73,64,69,75,74,74,74,71,1
188,7,Marco,Saligari,28,19650518,3,Lombardia,,68,178,76,71,74.5,74,65,62,68,67,75,75,74,70,78,80,1
189,7,Rolf,Järmann,27,19660131,12,Thurgau,,73,182,71,76,76,73,58,71,66,66,75,75,76,74,76,77,1
190,7,Bruno,Cenghialta,31,19621205,3,Veneto,,63,177,76,70,73,70,68,61,63,71,76,75,75,71,76,72,1
191,7,Andrea,Ferrigato,24,19690901,3,Veneto,,67,176,75,66,70.5,68,63,68,68,71,74,73,73,72,75,76,1
192,7,Alfio,Vandi,33,19601207,3,Emilia Romagna,,0,0,69,76,75,65,56,68,68,68,74,67,71,73,74,72,1
193,7,Mauro Antonio,Santaromita,29,19640918,3,Lombardia,,68,173,74,70,70,73,62,63,64,68,70,72,70,66,70,74,1
194,7,Francesco,Cesarini,31,19620324,3,Umbria,,68,175,69,70,68.5,72,67,62,63,74,76,64,66,64,67,76,1
195,7,Fabio,Casartelli,23,19700816,3,Lombardia,,0,0,73,61,66.5,64,58,65,66,68,71,66,73,63,72,80,1
196,7,Roberto,Conti,29,19641216,3,Emilia Romagna,,68,180,67,75,74,64,57,63,63,59,68,74,71,72,73,70,1
197,7,Luca,Rota,30,19630624,3,Lombardia,,68,180,68,68,70,70,58,65,66,66,65,70,73,65,72,70,1
198,7,Maurizio,Vandelli,29,19640809,3,Emilia Romagna,,68,177,71,73,72.5,68,60,64,65,61,68,69,72,70,72,63,1
199,7,Marco,Serpellini,21,19720814,3,Lombardia,,0,0,67,64,67.5,66,66,63,60,67,72,69,69,68,71,70,1
200,7,Valerio,Piva,33,19600705,3,Lombardia,,69,178,71,68,69,65,57,65,66,66,67,68,68,67,70,71,1
201,7,Alessandro,Paganessi,33,19600130,3,Lombardia,,0,0,64,75,74.5,68,55,64,64,61,65,68,67,69,74,72,1
202,7,Luciano,Rabottini,33,19600123,3,,,0,0,72,59,62,71,61,72,72,68,69,62,66,61,65,68,1
203,7,Gianni,Pigatto,29,19640327,3,Veneto,,0,0,66,67,68.5,68,60,60,60,69,70,66,66,65,70,68,1
204,7,Sergio,Carcano,27,19660301,3,Lombardia,,68,178,72,62,63.5,62,63,64,65,61,68,70,70,62,65,68,1
205,7,Kjell,Nilsson,31,19620504,23,,,0,0,64,73,70.5,63,55,60,60,54,68,65,66,69,68,81,1
206,7,Ezio,Moroni,32,19611225,3,Lombardia,,0,0,68,64,64,68,60,67,67,60,62,64,66,64,64,62,1
207,7,Michele,Paletti,26,19670801,3,Emilia Romagna,,0,0,64,63,66,63,55,58,58,64,66,66,68,70,69,68,1
